CustomerID,Age,Annual Income,Spending Score,Gender
1,58,34592,4,Female
2,33,49256,18,Male
3,52,31395,76,Female
4,20,23905,12,Male
5,32,86237,78,Male
6,53,46062,92,Female
7,32,78878,76,Female
8,18,119458,21,Female
9,39,56421,20,Male
10,39,33396,12,Female
11,24,67052,45,Female
12,20,115647,59,Male
13,42,30328,71,Female
14,58,101070,47,Male
15,22,26006,85,Male
16,36,149134,11,Male
17,24,69823,36,Female
18,58,129328,47,Male
19,41,66566,27,Female
20,59,29358,78,Male
21,52,115568,32,Male
22,47,69735,35,Male
23,38,130474,99,Male
24,32,127715,5,Female
25,43,55093,9,Male
26,54,134867,92,Female
27,31,105909,64,Female
28,59,80142,19,Female
29,26,52325,96,Female
30,55,76155,75,Female
31,41,48746,18,Female
32,23,119061,7,Male
33,27,102240,21,Female
34,56,28326,50,Female
35,56,81348,68,Female
36,53,132824,2,Male
37,52,118419,35,Female
38,25,58469,56,Male
39,47,20425,93,Female
40,50,119871,23,Male
41,58,59117,82,Male
42,27,69009,98,Male
43,52,144977,100,Male
44,56,62487,63,Male
45,25,141778,47,Female
46,33,27592,31,Male
47,23,115932,63,Male
48,52,120379,17,Male
49,60,82296,71,Male
50,34,89163,78,Female
51,31,141754,70,Male
52,37,72296,86,Female
53,46,137914,67,Female
54,25,52493,29,Male
55,39,22757,76,Male
56,55,48864,1,Male
57,58,27716,30,Male
58,20,132674,43,Male
59,50,51195,36,Female
60,31,90678,17,Female
61,33,122841,61,Female
62,30,32363,13,Female
63,40,75519,53,Female
64,21,108259,84,Male
65,21,72772,94,Female
66,24,52591,25,Male
67,52,78800,18,Female
68,29,56509,60,Male
69,22,78082,71,Male
70,21,105477,70,Male
71,23,141420,97,Male
72,28,73269,63,Female
73,31,133331,52,Male
74,28,69672,1,Female
75,34,141440,59,Female
76,45,111303,94,Female
77,27,44890,38,Male
78,21,95914,95,Male
79,38,27492,7,Female
80,50,140505,68,Male
81,21,145931,66,Male
82,29,28981,77,Male
83,33,72923,16,Male
84,55,97924,6,Male
85,44,106163,75,Female
86,34,46772,86,Female
87,33,54814,51,Male
88,60,104607,39,Female
89,38,141768,97,Male
90,18,80068,80,Male
91,22,90468,28,Female
92,26,142324,45,Male
93,33,68434,37,Male
94,46,129280,70,Female
95,57,148955,84,Male
96,60,127099,71,Female
97,60,33577,18,Female
98,25,136616,14,Male
99,35,56930,78,Male
100,39,46685,88,Female
101,50,84032,33,Male
102,23,103136,55,Female
103,20,20464,43,Male
104,58,148424,34,Male
105,46,92309,91,Female
106,53,21267,15,Male
107,27,91511,5,Female
108,55,92420,19,Female
109,26,25482,40,Female
110,20,137823,46,Male
111,33,107416,14,Female
112,53,135885,53,Male
113,33,133325,21,Male
114,44,23248,23,Female
115,44,125150,86,Male
116,35,40866,90,Male
117,42,134316,5,Female
118,32,46158,59,Female
119,37,127549,30,Male
120,19,106511,25,Female
121,39,56517,9,Female
122,40,104080,66,Female
123,52,63404,4,Male
124,34,43405,75,Female
125,20,34208,77,Female
126,40,115491,41,Female
127,56,149005,66,Male
128,42,137899,74,Male
129,34,25817,91,Female
130,18,88146,69,Male
131,41,76531,9,Female
132,57,61145,85,Male
133,37,86469,40,Female
134,38,72743,90,Female
135,53,36683,25,Female
136,60,143255,49,Male
137,57,94593,39,Female
138,53,129278,1,Female
139,36,47549,56,Female
140,47,77905,57,Male
141,50,82021,95,Male
142,60,31114,37,Female
143,23,127272,97,Male
144,37,49444,26,Male
145,19,26057,32,Female
146,57,131376,99,Male
147,47,74321,81,Male
148,42,84799,52,Male
149,27,105990,89,Male
150,24,122029,55,Male
151,29,125396,90,Female
152,21,93060,32,Male
153,47,37477,60,Female
154,46,100301,93,Female
155,53,78446,21,Female
156,46,53972,97,Male
157,58,56347,99,Female
158,58,51358,36,Female
159,22,113525,37,Male
160,35,64020,41,Male
161,26,39769,30,Female
162,27,112591,28,Male
163,44,73424,43,Female
164,44,28161,27,Female
165,42,138598,99,Male
166,54,69857,62,Male
167,40,59139,97,Female
168,44,90545,96,Male
169,49,48760,35,Female
170,49,23804,50,Female
171,60,109016,52,Male
172,47,140526,17,Male
173,43,97580,73,Male
174,23,104246,55,Male
175,47,43819,7,Female
176,42,62906,28,Female
177,38,64236,98,Female
178,35,118567,54,Female
179,23,81644,3,Male
180,40,49389,84,Male
181,59,25276,97,Male
182,33,46130,3,Male
183,33,36544,61,Male
184,54,144224,28,Female
185,34,120518,48,Male
186,56,99593,96,Male
187,28,146447,40,Male
188,55,23365,40,Female
189,43,143400,92,Male
190,22,97607,89,Male
191,24,111382,99,Female
192,56,125582,16,Male
193,40,89827,55,Female
194,22,86317,83,Female
195,18,131355,54,Female
196,24,76822,47,Female
197,27,77080,23,Female
198,57,125932,69,Female
199,47,77091,94,Female
200,38,131635,32,Male
201,35,135557,58,Male
202,47,94691,79,Female
203,39,23761,64,Female
204,29,83904,28,Female
205,34,64608,36,Female
206,53,21330,67,Male
207,23,51635,93,Female
208,49,92768,98,Male
209,48,104659,92,Female
210,46,123931,3,Male
211,36,49045,52,Male
212,37,107026,75,Female
213,48,92544,68,Female
214,45,117771,71,Female
215,40,112124,59,Female
216,37,52951,30,Male
217,30,61359,16,Male
218,30,48361,95,Female
219,35,114972,76,Female
220,24,129134,25,Female
221,32,67301,23,Female
222,18,112801,69,Male
223,35,25965,7,Female
224,26,103606,97,Female
225,24,134389,2,Female
226,48,82746,57,Female
227,29,146549,7,Female
228,48,34953,9,Female
229,49,29710,74,Male
230,27,39555,73,Female
231,23,52530,16,Female
232,56,98135,80,Male
233,51,69856,58,Female
234,37,132743,76,Female
235,37,94531,80,Male
236,57,145843,95,Male
237,31,101987,28,Female
238,60,30641,21,Male
239,29,92350,10,Male
240,18,73545,58,Female
241,36,24278,30,Female
242,36,112141,59,Male
243,32,141098,34,Male
244,45,35043,70,Male
245,59,39528,35,Male
246,22,27816,22,Female
247,56,118167,73,Female
248,46,36299,60,Female
249,43,143558,35,Female
250,46,30543,77,Male
251,45,116276,42,Female
252,19,31970,30,Male
253,35,95529,6,Male
254,48,88021,84,Female
255,35,43788,75,Female
256,58,126724,63,Male
257,48,65607,53,Female
258,38,107835,14,Male
259,39,73955,89,Female
260,36,106846,52,Male
261,47,31542,41,Female
262,38,35194,99,Female
263,50,128124,1,Female
264,44,27104,25,Female
265,57,119148,64,Female
266,21,46680,35,Male
267,36,77424,90,Female
268,25,23783,81,Male
269,28,60730,71,Male
270,53,73476,12,Male
271,25,80482,16,Male
272,49,142244,92,Female
273,50,112459,35,Female
274,48,148482,61,Male
275,47,92255,19,Female
276,30,140831,77,Male
277,22,56208,99,Female
278,39,142453,65,Female
279,18,57072,93,Female
280,55,96011,85,Female
281,27,78529,69,Female
282,40,63573,71,Female
283,47,142270,42,Male
284,33,94946,50,Male
285,44,25720,41,Female
286,42,70604,85,Male
287,49,146461,5,Male
288,50,146530,76,Female
289,24,134581,57,Male
290,51,139333,59,Male
291,27,73736,84,Male
292,22,81537,34,Female
293,57,110794,51,Male
294,39,131718,87,Female
295,38,102155,92,Female
296,52,24705,80,Male
297,33,102727,88,Female
298,32,117880,12,Female
299,24,119663,82,Male
300,46,41805,89,Female
